biomarker,pdac_pdacdm_auc,pdac_pdacdm_lower_ci,pdac_pdacdm_upper_ci,pdac_pdacdm_sens_99_spec,pdac_pdacdm_sens_975_spec,pdac_pdacdm_sens_95_spec,pdac_pdacdm_sens_90_spec,pdacdm_lsdm_auc,pdacdm_lsdm_lower_ci,pdacdm_lsdm_upper_ci,pdacdm_lsdm_sens_99_spec,pdacdm_lsdm_sens_975_spec,pdacdm_lsdm_sens_95_spec,pdacdm_lsdm_sens_90_spec
adiponectin_serum_ug_ml,0.571,0.435,0.707,0.056,0.056,0.111,0.222,0.776,0.636,0.915,0.088,0.088,0.088,0.147
adrenomedullin_serum_ng_m_l,0.628,0.49,0.766,0.156,0.156,0.188,0.281,0.631,0.434,0.829,0.062,0.062,0.062,0.156
aact_serum_ug_ml,0.595,0.47,0.719,0.025,0.1,0.1,0.125,0.692,0.558,0.825,0.238,0.238,0.286,0.5
apo_a1_serum_mg_d_l,0.649,0.522,0.776,0,0,0.105,0.132,0.594,0.444,0.745,0.25,0.25,0.25,0.333
ca19_9_serum_u_ml_elisa,0.552,0.421,0.684,0,0,0.025,0.1,0.882,0.783,0.981,0.75,0.75,0.861,0.861
chemerin_serum_ng_m_l,0.603,0.477,0.728,0,0.05,0.05,0.125,0.611,0.466,0.757,0.15,0.15,0.225,0.275
clusterin_serum_ng_m_l,0.52,0.382,0.657,0,0,0.054,0.108,0.706,0.568,0.844,0.412,0.412,0.412,0.441
c_peptide_serum_pg_m_l,0.638,0.498,0.778,0.028,0.028,0.139,0.139,0.818,0.687,0.949,0.156,0.156,0.156,0.375
ghrelin_serum_pg_m_l,0.484,0.347,0.622,0,0,0.056,0.083,0.672,0.524,0.819,0.147,0.147,0.147,0.265
gip_serum_pg_m_l,0.565,0.429,0.702,0.056,0.056,0.111,0.111,0.87,0.768,0.972,0.765,0.765,0.765,0.765
glp_1_serum_pg_m_l,0.553,0.415,0.691,0,0,0,0.056,0.755,0.627,0.884,0.412,0.412,0.412,0.529
glucagon_serum_pg_m_l,0.536,0.398,0.674,0.056,0.056,0.111,0.194,0.714,0.569,0.858,0.294,0.294,0.294,0.324
insulin_serum_pg_m_l,0.718,0.594,0.843,0.056,0.056,0.139,0.333,0.848,0.745,0.951,0.5,0.5,0.5,0.676
leptin_serum_pg_m_l,0.544,0.407,0.682,0.028,0.028,0.056,0.167,0.811,0.694,0.928,0.441,0.441,0.441,0.5
pai_1_serum_pg_m_l,0.573,0.435,0.711,0.057,0.057,0.086,0.2,0.718,0.578,0.857,0.273,0.273,0.273,0.394
sparc_serum_ng_m_l,0.535,0.396,0.673,0,0,0.026,0.053,0.594,0.415,0.773,0.029,0.029,0.088,0.088
transferin_serum_mg_m_l,0.596,0.467,0.725,0.132,0.132,0.132,0.184,0.617,0.47,0.764,0.105,0.105,0.316,0.368
adrenomedullin_plasma_ng_m_l,0.494,0.359,0.63,0.025,0.025,0.025,0.05,0.74,0.58,0.9,0,0,0,0
ifn_g_plasma_pg_m_l,0.597,0.455,0.739,0.031,0.031,0.219,0.219,0.7,0.547,0.852,0.226,0.226,0.226,0.323
il1ra_plasma_pg_ml,0.582,0.437,0.726,0.031,0.031,0.031,0.188,0.691,0.523,0.86,0,0,0,0.433
il_4_plasma_pg_m_l,0.629,0.489,0.769,0.032,0.032,0.194,0.323,0.739,0.587,0.891,0.161,0.161,0.161,0.355
il_6_plasma_pg_m_l,0.541,0.396,0.685,0.032,0.032,0.032,0.032,0.823,0.673,0.973,0,0,0,0.515
il_7_plasma_pg_m_l,0.619,0.478,0.761,0,0,0.031,0.188,0.697,0.52,0.873,0.097,0.097,0.097,0.226
il_8_plasma_pg_m_l,0.576,0.434,0.717,0.032,0.032,0.097,0.161,0.874,0.771,0.977,0.459,0.466,0.477,0.636
il_9_plasma_pg_m_l,0.637,0.498,0.775,0.156,0.156,0.188,0.219,0.819,0.688,0.951,0.387,0.387,0.387,0.484
il_12_plasma_pg_m_l,0.607,0.466,0.748,0.156,0.156,0.188,0.25,0.705,0.537,0.873,0.032,0.032,0.032,0.387
mip_1a_plasma_pg_m_l,0.611,0.473,0.749,0.031,0.031,0.062,0.094,0.733,0.591,0.874,0.382,0.382,0.382,0.441
mip_1b_plasma_pg_m_l,0.449,0.306,0.592,0,0,0,0.031,0.854,0.744,0.964,0.485,0.485,0.485,0.485
pdgf_bb_plasma_pg_m_l,0.421,0.276,0.566,0,0,0,0,0.71,0.546,0.875,0.062,0.062,0.062,0.344
vwf_m_u_m_l,0.498,0.37,0.626,0,0,0.071,0.143,0.872,0.784,0.96,0.513,0.513,0.615,0.744
